"Was ist die Hauptstadt von Frankreich?","Paris",true,"Berlin",false,"London",false,"Rom",false
"Wer hat die Relativitätstheorie entwickelt?","Albert Einstein",true,"Isaac Newton",false,"Nikola Tesla",false,"Marie Curie",false
"Welches chemische Element hat das Symbol 'O'?","Sauerstoff",true,"Wasserstoff",false,"Kohlenstoff",false,"Stickstoff",false
"Welcher Planet ist der dritte in unserem Sonnensystem?","Erde",true,"Mars",false,"Venus",false,"Jupiter",false
"Was ist der längste Fluss der Welt?","Der Amazonas",true,"Der Nil",false,"Der Jangtse",false,"Der Mississippi",false
"Welches ist das größte Säugetier der Welt?","Der Blauwal",true,"Der Elefant",false,"Der Giraffe",false,"Der Löwe",false
"Wer schrieb 'Romeo und Julia'?","William Shakespeare",true,"Jane Austen",false,"Charles Dickens",false,"Mark Twain",false
"Was ist die Hauptzutat in der Guacamole?","Avocado",true,"Tomate",false,"Zwiebel",false,"Zitrone",false
"In welchem Land befindet sich die Great Barrier Riff?","Australien",true,"Neuseeland",false,"Fidschi",false,"Indonesien",false
"Welcher Fluss fließt durch Bagdad?","Tigris",true,"Euphrat",false,"Jordan",false,"Nil",false
"In welchem Land liegt die Stadt Marrakesch?","Marokko",true,"Tunesien",false,"Algerien",false,"Libyen",false
"Welcher Fluss fließt durch Wien?","Donau",true,"Rhein",false,"Seine",false,"Themse",false
"Welche zwei Kontinente verbindet der Suezkanal?","Afrika und Asien",true,"Nordamerika und Südamerika",false,"Europa und Afrika",false,"Asien und Australien",false
"Welches Land liegt südlich von Saudi-Arabien auf der Arabischen Halbinsel?","Jemen",true,"Oman",false,"Vereinigte Arabische Emirate",false,"Katar",false
"In welchem Land befindet sich der größte Teil des Pantanal, dem größten Binnenland-Feuchtgebiet der Welt?","Brasilien",true,"Argentinien",false,"Paraguay",false,"Uruguay",false
"Welche Meerenge trennt Spanien von Marokko?","Straße von Gibraltar",true,"Ärmelkanal",false,"Dardanellen",false,"Malakkastraße",false
"Welches Land hat die Form eines Schmetterlings?","Griechenland",true,"Italien",false,"Spanien",false,"Portugal",false
"Welcher Fluss fließt durch Budapest?","Donau",true,"Theiß",false,"Save",false,"Dnister",false
"In welchem Land befindet sich der Krüger-Nationalpark?","Südafrika",true,"Kenia",false,"Tansania",false,"Simbabwe",false
"Welcher Fluss fließt durch Kairo?","Nil",true,"Jordan",false,"Tigris",false,"Euphrat",false
"Welches Land wird als 'Land der aufgehenden Sonne' bezeichnet?","Japan",true,"China",false,"Südkorea",false,"Vietnam",false
"Welcher Fluss bildet die Grenze zwischen den USA und Kanada?","St. Lawrence River",true,"Mississippi River",false,"Colorado River",false,"Yukon River",false
"Welcher berühmte Herrscher führte das Römische Reich während seiner größten Ausdehnung an?","Kaiser Augustus",true,"Julius Caesar",false,"Nero",false,"Trajan",false
"Wann fand die Französische Revolution statt?","1789 bis 1799",true,"1815 bis 1825",false,"1650 bis 1660",false,"1900 bis 1910",false
"Wer war der Führer der sowjetischen Union während des Zweiten Weltkriegs?","Josef Stalin",true,"Wladimir Putin",false,"Leonid Breschnew",false,"Nikita Chruschtschow",false
"Welches Ereignis markiert das Ende des Ersten Weltkriegs?","Der Waffenstillstand von Compiègne am 11. November 1918",true,"Die Schlacht von Verdun",false,"Die Schlacht an der Marne",false,"Die Schlacht von Jütland",false
"Wer war der berühmte karthagische Feldherr während der Punischen Kriege?","Hannibal Barca",true,"Scipio Africanus",false,"Xanthippos",false,"Hasdrubal Barkas",false
"Welches Ereignis markiert den Beginn der Renaissance in Europa?","Der Fall von Konstantinopel im Jahr 1453",true,"Die Magna Carta von 1215",false,"Die Krönung von Karl dem Großen",false,"Die Entdeckung Amerikas durch Kolumbus",false
"Wer war der erste Präsident der Vereinigten Staaten?","George Washington",true,"Thomas Jefferson",false,"Abraham Lincoln",false,"John Adams",false
"Welche Dynastie herrschte über das antike China während der Zeit der Terrakotta-Armee?","Die Qin-Dynastie",true,"Die Han-Dynastie",false,"Die Tang-Dynastie",false,"Die Ming-Dynastie",false
"Wer war der legendäre König von Mykene, der im Trojanischen Krieg kämpfte?","Agamemnon",true,"Odysseus",false,"Hektor",false,"Achilles",false
"Wann begann der Dreißigjährige Krieg?","1618",true,"1648",false,"1572",false,"1703",false
"Welcher berühmte Feldherr führte die mongolische Armee und schuf ein riesiges Reich?","Dschingis Khan",true,"Attila der Hunne",false,"Alexander der Große",false,"Napoleon Bonaparte",false
"Wann wurde die Magna Carta unterzeichnet?","1215",true,"1298",false,"1150",false,"1345",false
"Welcher römische Kaiser gab dem Christentum im Römischen Reich offiziellen Status?","Konstantin der Große",true,"Nero",false,"Augustus",false,"Trajan",false
"Wann endete die Sklaverei in den Vereinigten Staaten?","1865 mit dem Ende des Bürgerkriegs",true,"1776 mit der Unabhängigkeitserklärung",false,"1803 mit dem Louisiana Purchase",false,"1919 mit dem Ende des Ersten Weltkriegs",false
"Welcher berühmte Entdecker segelte um das Kap der Guten Hoffnung und erreichte Indien?","Vasco da Gama",true,"Christopher Kolumbus",false,"Ferdinand Magellan",false,"James Cook",false
"Wann fand die industrielle Revolution statt?","Im späten 18. und frühen 19. Jahrhundert",true,"Im 17. Jahrhundert",false,"Im 20. Jahrhundert",false,"Im 16. Jahrhundert",false
"Wer war der Pharao, der die Große Pyramide von Gizeh errichten ließ?","Pharao Cheops (Chufu)",true,"Pharao Ramses II",false,"Pharao Tutanchamun",false,"Pharao Amenophis III",false
"Welche Dynastie herrschte über das Römische Reich, als Jesus Christus geboren wurde?","Die Römische Republik",true,"Die Julio-Claudische Dynastie",false,"Die Flavische Dynastie",false,"Die Severische Dynastie",false
"Wann endete der Erste Weltkrieg?","Am 11. November 1918",true,"Am 1. September 1939",false,"Am 6. Juni 1944",false,"Am 2. September 1945",false
"Welcher berühmte Wikinger entdeckte Grönland?","Erik der Rote",true,"Leif Erikson",false,"Harald Hardrada",false,"Olav Tryggvason",false
"Wer war der erste Mensch, der den Südpol erreichte?","Roald Amundsen",true,"Robert Falcon Scott",false,"Ernest Shackleton",false,"Richard E. Byrd",false